name,diretta_name,diretta_id,elo,id
Brabo Antwerp,brabo-antwerp,jJjkNZW4,200,

Osaka Bluteon,osaka-bluteon,lY4LB6zN,350,jpn_m_1
Suntory Sunbirds,suntory-sunbirds,SO3PAQkT,375,jpn_m_2
Nagoya,nagoya,jTKINSpR,350,
JTEKT,jtekt,p6Uf7OoP,325,
Tokyo Great Bears,tokyo-great-bears,IaHhI75c,275,
JT Thunders,jt-thunders,ny1bf4Dj,225,
Osaka Sakai,osaka-sakai,fB5HCnLG,200,
Toray Arrows,toray-arrows,xjw5DS5A,200,
Nagano,vc-nagano,p2MjmR0c,200,
Voreas Hokkaido,voreas-hokkaido,C2yq100p,175,
