match_id,date,team1,team2,team1_sets,team2_sets,winner
2025-11-08_xjw5DS5A_lY4LB6zN,2025-11-08,toray-arrows-xjw5DS5A,osaka-bluteon-lY4LB6zN,0,3,osaka-bluteon-lY4LB6zN
2025-11-08_INkEKK52_OM0kh4Ou,2025-11-08,leixoes-sc-INkEKK52,madalena-OM0kh4Ou,3,2,leixoes-sc-INkEKK52
2025-11-08_OITYl3S8_AwS2lscL,2025-11-08,varazdin-OITYl3S8,mok-mursa-osijek-AwS2lscL,0,3,mok-mursa-osijek-AwS2lscL
2025-11-09_hESei7a0_n1fQwmN6,2025-11-09,haasrode-leuven-hESei7a0,menen-n1fQwmN6,1,3,menen-n1fQwmN6
2025-11-09_hxtqRVVu_OdjU5n0U,2025-11-09,lube-civitanova-hxtqRVVu,verona-OdjU5n0U,3,0,lube-civitanova-hxtqRVVu
2025-11-09_IXfYN7pB_EJS1lfOD,2025-11-09,piacenza-IXfYN7pB,safety-perugia-EJS1lfOD,2,3,safety-perugia-EJS1lfOD
2025-11-09_6upmQkon_Kfbd7lGB,2025-11-09,modena-6upmQkon,padova-Kfbd7lGB,3,0,modena-6upmQkon
2025-11-09_WMOb4cbO_fwN0pTnE,2025-11-09,ciudad-buenos-aires-WMOb4cbO,san-lorenzo-de-almagro-fwN0pTnE,3,0,ciudad-buenos-aires-WMOb4cbO
2025-11-09_fsTxZQzt_xfxfdEus,2025-11-09,jf-volei-fsTxZQzt,sao-jose-dos-campos-xfxfdEus,0,3,sao-jose-dos-campos-xfxfdEus
2025-11-09_UBvJOjmK_lSPIzHQL,2025-11-09,praia-clube-UBvJOjmK,joinville-lSPIzHQL,3,1,praia-clube-UBvJOjmK
2025-11-09_EuwcJPKB_2kggPBWE,2025-11-09,norwid-czestochowa-EuwcJPKB,slepsk-suwalki-2kggPBWE,3,2,norwid-czestochowa-EuwcJPKB
